image_id,brick_type,wall_age,mortar_type,exposure,humidity,load_bearing,length_growth_mm,width_growth_mm
crack_0000,concrete,58,cement,indoor,medium,False,37.35551933954157,1.9339816210752587
crack_0001,engineering_brick,10,lime,outdoor,high,False,44.233909768825114,2.0
crack_0002,sand_lime,10,lime,outdoor,low,False,46.24660545801678,0.48299061975809726
crack_0003,clay,11,lime,indoor,medium,True,50.0,2.0
crack_0004,sand_lime,7,cement_lime_mix,outdoor,low,False,45.03645890553287,1.735998649680508
crack_0005,clay,25,lime,outdoor,high,True,50.0,2.0
crack_0006,engineering_brick,28,lime,outdoor,low,False,45.027666854401154,1.180582627192541
crack_0007,clay,41,cement,indoor,low,False,11.123793317955915,0.37781913879124557
crack_0008,concrete,58,cement,indoor,high,False,50.0,0.5162229495049381
crack_0009,fly_ash,51,lime,outdoor,low,False,30.21729477586394,1.6461580503296966
crack_0010,fly_ash,33,lime,outdoor,low,True,50.0,2.0
crack_0011,concrete,40,cement_lime_mix,indoor,low,True,36.472428358338426,1.1390955558458515
crack_0012,sand_lime,19,cement,indoor,medium,True,18.9999852242993,0.3906564086554706
crack_0013,clay,16,lime,indoor,low,True,26.706478882107128,1.6532913540544305
crack_0014,fly_ash,58,lime,outdoor,high,False,50.0,2.0
crack_0015,concrete,1,lime,indoor,medium,False,27.79917316811881,1.1861946436905246
crack_0016,clay,50,cement,indoor,low,False,35.648126465892574,0.6001397066248023
crack_0017,clay,33,lime,outdoor,low,True,50.0,2.0
crack_0018,fly_ash,19,cement,outdoor,medium,True,50.0,2.0
crack_0019,fly_ash,15,cement,outdoor,high,True,31.486891773282245,0.3781218558436648
crack_0020,engineering_brick,25,lime,outdoor,medium,True,50.0,0.5562724229325492
crack_0021,clay,55,lime,indoor,high,True,50.0,2.0
crack_0022,concrete,30,cement,indoor,low,False,29.941954521529638,0.5576711209159932
crack_0023,fly_ash,14,lime,outdoor,high,False,50.0,1.9101786384084765
crack_0024,clay,12,lime,indoor,low,True,18.64145842411782,0.6448771635407965
